Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
4,PITT,11,0.5454545454545454,0.6666666666666667,0.4444444444444444,0.4,0.6666666666666666,4,2,3,2
4,SBL,6,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,SDSU,8,0.625,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6,3,2,1,2
4,STANFORD,8,0.5,0.6875,0.6666666666666666,1.0,0.0,0,4,0,4
4,TRINITY,9,0.5555555555555556,0.5,0.6,0.75,0.4,2,3,1,3
4,UCLA,19,0.7894736842105263,0.7613636363636364,0.8333333333333334,0.9090909090909091,0.625,5,3,1,10
4,UM,28,0.5,0.7794871794871795,0.65,1.0,0.06666666666666667,1,14,0,13
4,USM,14,0.7857142857142857,0.9555555555555555,0.8571428571428571,1.0,0.4,2,3,0,9
4,YALE,11,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
5,CALTECH,8,0.625,0.625,0.5714285714285714,0.5,0.75,3,1,2,2
5,CMU,5,0.4,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,0,2,1,2
5,KKI,10,0.3,0.4583333333333333,0.46153846153846156,0.75,0.0,0,6,1,3
5,LEUVEN,12,0.5,0.2285714285714286,0.0,0.0,0.8571428571428571,6,1,5,0
5,MAX_MUN,11,0.36363636363636365,0.5,0.46153846153846156,0.6,0.16666666666666666,1,5,2,3
5,NYU,35,0.5714285714285714,0.6699999999999999,0.5714285714285714,0.6666666666666666,0.5,10,10,5,10
5,OHSU,5,0.4,0.33333333333333337,0.4,0.5,0.3333333333333333,1,2,1,1
5,OLIN,7,0.8571428571428571,0.7500000000000001,0.8888888888888888,1.0,0.6666666666666666,2,1,0,4
5,PITT,11,0.36363636363636365,0.5,0.36363636363636365,0.3333333333333333,0.4,2,3,4,2
5,SBL,6,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333,1.0,3,0,2,1
5,SDSU,8,0.5,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.6,3,2,2,1
5,STANFORD,7,0.5714285714285714,0.5833333333333333,0.6666666666666666,1.0,0.25,1,3,0,3
5,TRINITY,9,0.5555555555555556,0.6,0.3333333333333333,0.25,0.8,4,1,3,1
5,UCLA,20,0.7,0.7272727272727273,0.7692307692307693,0.9090909090909091,0.4444444444444444,4,5,1,10
